203.75546    2.72858
206.65840    2.58926
209.19056    2.43770
212.52692    2.31531
213.46444    2.14481
215.84940    1.99811
217.85523    1.84676
220.21485    1.68903
222.32328    1.52905
225.04596    1.37998
226.71374    1.23047
231.89320    1.13343
237.99127    1.24737
241.07094    1.44628
242.86379    1.60995
244.30184    1.76782
246.13793    1.94380
248.37382    2.12284
253.31397    2.27841
258.13130    2.08791
259.70017    1.91266
261.22761    1.76575
266.15670    1.66768
272.29362    1.84951
273.66664    2.01521
278.18879    2.48491
275.88469    2.18496
276.95868    2.32303
280.42697    2.68513
281.35611    2.81645
282.31983    3.00010
283.35832    3.20586
284.52796    3.50245
283.79699    3.32338
287.37284    3.73383
288.65869    3.93198
291.01564    4.04950
293.51715    3.58602
293.11385    3.82549
294.43571    3.39787
294.68192    3.22417
295.77570    3.02528
299.30891    2.86119
302.41447    2.72499
305.95578    2.58052
308.90144    2.43504
310.43383    2.27540
312.95855    2.11005
314.48453    1.96094
315.65909    1.82634
317.25572    1.69309
319.08033    1.54063
321.06073    1.39631
324.54210    1.24713
330.19108    1.15596
338.76560    1.10130
346.27386    0.99108
351.23440    0.84955
355.65950    0.70892
359.57234    0.57854
364.21104    0.43926
370.67774    0.31727
378.60819    0.20858
387.83709    0.15275
397.09245    0.13695
406.36034    0.14011
415.63414    0.15222
424.90725    0.16328
434.17966    0.17329
443.44825    0.17750
452.71405    0.17750
461.97985    0.17750
471.24495    0.17645
480.51040    0.17592
489.78386    0.18751
499.06671    0.21332
508.36558    0.26335
517.67872    0.33498
527.00787    0.43084
535.50554    0.54314
542.74928    0.66995
549.14837    0.79327
555.55724    0.93138
561.96351    1.06556
567.95018    1.20213
573.93192    1.33124
579.48639    1.45111
585.04705    1.58036
591.02825    1.70865
597.01547    1.84603
605.01679    1.95080
613.73411    1.97059
621.46372    1.87666
626.54510    1.70554
630.51784    1.55636
633.80060    1.42528
636.71893    1.28903
639.87827    1.15330
642.43594    1.01756
645.98211    0.88045
649.35240    0.74020
652.72896    0.60944
657.00616    0.46776
663.81920    0.32524
671.73499    0.19436
680.94196    0.10535
690.17434    0.05478
699.42135    0.02634
708.68367    0.02108
717.94912    0.02055
723.42088    0.01528
