RunNumber,Temperature ,a       ,?       ,?       ,?       ,Reduced ?² 
25529,1.94,0.25,0.09132,1.09236,30.84887,6.5652
25548,6.993,0.25,0.20852,1.09236,19.79927,24.757
25538,19.42,0.25,0.55937,1.09236,0.31427,3.1555
